KOJIN ID,Formula,DFT enthalpy,Nzpe energy,SP energy
001CID6375, C1H3N1O2F0, -20.801276170, -48.507671689, -245.015190222
002CID10509, C1H0N4O8F0, 10.902748814, -18.293670872, -858.438617389
003CID15311932, C1H0N6O6F0, 73.088045085, 43.097199280, -817.559159649
004CID20120, C2H6N2O2F0, -12.656229809, -65.494784317, -339.670890148
005CID14344427, C2H3N5O4F0, 50.686108429, 5.168779645, -652.411338656
006CID61232, C2H0N6O12F0, 11.40081582, -34.93886576, -1306.72845566
007CID4510, C3H5N3O9F0, -87.972384180, -156.465024684, -958.196693947
008CID26368, C3H6N6O3F0, 68.511141457, -.291802318, -671.894040342
009CID8490, C3H6N6O6F0, 25.461598180, -51.801405467, -897.440014751
010CID8819, C4H8N4O2F0, 27.788555190, -50.384712153, -526.573866641
011CID20124, C4H8N4O4F0, -5.292626012, -89.131243282, -676.944872256
012CID140617, C4H4N8O14F0, -7.91464121, -97.48951961, -1645.22955276
013CID7416, C6H5N1O2F0, 4.353965057, -54.376452707, -436.775445803
014CID6947, C6H5N1O3F0, -27.589515659, -88.443836208, -511.984365177
015CID11137, C6H5N1O3F0, -32.892235663, -93.736515512, -511.992799598
016CID980, C6H5N1O3F0, -34.768800427, -95.700304610, -511.995929095
017CID7423, C6H6N2O2F0, 5.876541355, -61.899499576, -492.133802142
018CID7475, C6H6N2O2F0, 3.575611087, -64.221764771, -492.137502907
019CID69319, C6H5N3O0F0, 86.152928371, 27.148289421, -395.863902697
020CID137049, C6H4N4O2F0, 76.749702553, 16.674845489, -600.371118605
021CID141415, C6H10N6O10F0, -55.75793695, -176.57277804, -1314.93905240
022CID7473, C7H7N1O2F0, -6.280140582, -80.804046159, -476.099822491
023CID8461, C7H6N2O4F0, -10.623804423, -86.202240946, -680.598950475
024CID12152, C7H7N3O0F0, 84.866668899, 9.668190150, -435.174020646
025CID13330261, C7H15N3O0F0, 16.422178314, -107.993565622, -440.021931692
026CID8376, C7H5N3O6F0, -9.885245291, -86.344392315, -885.089702421
027CID145163, C10H14N2O4F0, -54.852872632, -193.420399080, -799.781699673
028CID357114, C10H15N3O0F0, 29.441597004, -108.407744155, -554.374072811
029CID577098, C9H11N3O0F0, 65.033641033, -41.860373271, -513.820659913
030CID5462985, C14H6N6O12F0, 25.95344479, -103.64041491, -1767.73916671
031CID12231, C1H3N1O2F0, -18.844601378, -45.710762073, -245.010733063
032CID11724, C1H3N1O3F0, -35.504739054, -65.346332570, -320.196653880
033CID61172, C1H2N2O4F0, -15.171721681, -43.930765248, -449.498421871
034CID8026, C2H5N1O2F0, -28.818594394, -71.766270002, -284.334516795
035CID12259, C2H5N1O3F0, -45.212889758, -91.134743590, -359.520011966
036CID10979, C3H7N1O2F0, -35.404134952, -94.529335358, -323.653053686
037CID164756, C4H9N1O3F0, -63.463986752, -140.740639866, -438.163587268
038CID10996, C4H9N1O2F0, -42.311710028, -117.567371611, -362.972028771
039CID11672, C4H9N1O2F0, -49.906732555, -125.323663880, -362.984389209
040CID143467, C4H4N4O7F0, -15.633574646, -79.626020249, -900.063410799
041CID23506, C5H10N2O2F0, -23.546037115, -113.388606782, -456.428897448
042CID11473, C6H5N1O1F0, 37.945841184, -17.768982287, -361.562478543
043CID69321, C7H7N1O2F0, -.886652262, -75.913193818, -476.092028422
044CID136409, C7H6N2O4F0, .873725331, -74.913671345, -680.580960995
045CID6672, C8H9N1O2F0, -12.122278238, -102.598432630, -515.416815694
046CID297, C1H4N0O0F0, -19.9479550885, -45.7664882320, -40.5202964549
047CID222, C0H3N1O0F0, -4.1687427929, -23.6560768134, -56.5491672353
048CID962, C0H2N0O1F0, -44.0621332858, -56.3485047268, -76.4095278770
049CID6326, C2H2N0O0F0, 61.1146015981, 44.8726953701, -77.3279128111
050CID6325, C2H4N0O0F0, 12.5044450197, -16.8642849648, -78.5913982253
051CID6324, C2H6N0O0F0, -24.2897053902, -66.6434425107, -79.8358276367
052CID768, C1H1N1O0F0, 34.7384653174, 24.7587319909, -93.4240724131
053CID281, C1H0N0O1F0, -20.221311098, -24.090693309, -113.310180868
054CID712, C1H2N0O1F0, -25.515458030, -41.048940101, -114.502306831
055CID887, C1H4N0O1F0, -43.601040055, -72.487877867, -115.717509243
056CID947, C0H0N2O0F0, 5.153115198, 1.727347742, -109.524881221
057CID9321, C0H4N2O0F0, 28.083338033, -1.231495532, -111.859798993
058CID784, C0H2N0O2F0, -23.147056823, -37.776332008, -151.534560782
059CID280, C1H0N0O2F0, -90.962365951, -97.992924548, -188.582581110
060CID948, C0H0N2O1F0, 18.712473738, 12.677738618, -184.662060208
061CID24823, C0H0N0O3F0, 39.110559055, 35.253909013, -225.407707957
062CID6335, C3H4N0O0F0, 46.735961582, 14.260055383, -116.658958795
063CID10037, C3H4N0O0F0, 43.554110328, 11.371878276, -116.663561398
064CID123173, C3H4N0O0F0, 67.947223433, 35.557913556, -116.625018499
065CID8252, C3H6N0O0F0, 2.279534208, -43.177614395, -117.915592822
066CID6351, C3H6N0O0F0, 10.741878161, -35.264968094, -117.902983218
067CID6334, C3H8N0O0F0, -30.801555016, -89.266301097, -119.154141094
068CID7845, C4H6N0O0F0, 24.416374434, -24.465469877, -156.002933484
069CID10419, C4H6N0O0F0, 33.836124113, -15.211382084, -155.988186157
